date,financial_investment,insurance,investment_trust,private_equity,bank,other_finance,pension,individual,foreign,institution,k200_close,k200_change_pct,skhynix_foreign,samsung_foreign,futures_close,foreign_futures,institution_futures,open_interest,expiry_date,days_to_expiry,basis,theoretical_basis,basis_gap,basis_gap_pct,foreign_spot_20d,foreign_futures_20d,derivative_source,fallback_used
2026-07-21,889051236375.0,115747466080.0,448476994874.0,-132664282469.0,441041465.0,-6590207836.0,59980172323.0,-1642051190963.0,308691365375.0,1374442420812.0,1073.39,3.958276837252561,-438949923000.0,500750586000.0,1086.15,0.0,0.0,165132.0,2026-09-10,51,12.759999999999991,1.2748344246575345,11.485165575342457,1.0699899920199047,308691365375.0,0.0,krx,False
2026-07-22,-975781388390.0,16190649768.0,-109592857859.0,-257423748725.0,-275308209.0,1195759931.0,-70617227582.0,-1217613031947.0,2629918327966.0,-1396304121066.0,1080.22,0.6363018101528839,1256282782500.0,583359795000.0,1085.55,0.0,0.0,161143.0,2026-09-10,50,5.329999999999927,1.2577904109589042,4.072209589041023,0.376979651278538,2938609693341.0,0.0,krx,False
2026-07-23,-1013877519194.0,26085066982.0,673179852798.0,338643483420.0,4322853225.0,-4889368500.0,74086393268.0,-2207706846282.0,2148658882653.0,97550761999.0,1126.33,4.268574919923718,1315893300500.0,350400241000.0,1132.5,0.0,0.0,162666.0,2026-09-10,49,6.170000000000073,1.2852505342465754,4.884749465753497,0.4336872378213754,5087268575994.0,0.0,krx,False
2026-07-24,-873972760536.0,-175258235328.0,-712462891965.0,-226856333407.0,1211109267.0,3321515698.0,32576791189.0,5178227576349.0,-3282790865291.0,-1951440805082.0,1055.58,-6.2814628039739695,-1753254649500.0,-867979316500.0,1063.5,0.0,0.0,160745.0,2026-09-10,48,7.920000000000073,1.1799359999999999,6.740064000000073,0.638517592224187,1804477710703.0,0.0,krx,False
2026-07-27,469129729803.0,61436090078.0,402173268560.0,6680191755.0,-7023856879.0,-465635471.0,-72393329657.0,1978839287911.0,-2900021393761.0,859536458189.0,1069.22,1.2921806021334303,-1089783431500.0,-835342761750.0,1074.5,0.0,0.0,163597.0,2026-09-10,45,5.279999999999973,1.1204839726027398,4.159516027397233,0.38902340279804276,-1095543683058.0,0.0,krx,False
2026-07-28,694698839283.0,21349481620.0,-1085208151361.0,455073789872.0,-18393713057.0,-971607685.0,116482198835.0,4315196845084.0,-4526051773872.0,183030837507.0,945.69,-11.55328183161557,-2921034506500.0,-1488873487500.0,956.75,0.0,0.0,161830.0,2026-09-10,44,11.059999999999945,0.9690083835616439,10.090991616438302,1.067050684308632,-5621595456930.0,0.0,krx,False
2026-07-29,1856260999815.0,125996621098.0,345644444236.0,518248166804.0,-12613266143.0,5322646512.0,338084944542.0,-1970097761933.0,-1244716088741.0,3176944556864.0,887.2,-6.184902029206185,-1242523972000.0,-724282672050.0,898.65,0.0,0.0,172528.0,2026-09-10,43,11.449999999999932,0.8884153424657535,10.561584657534178,1.1904401101819406,-6866311545671.0,0.0,krx,False
2026-07-30,-271283468675.0,105291410208.0,-195507058218.0,58379819196.0,-16432848371.0,19884340225.0,380190624450.0,-1430884319848.0,1330986232543.0,80522818815.0,872.49,-1.658025247971151,582678697500.0,146551819500.0,867.6,0.0,0.0,169814.0,2026-09-10,42,-4.889999999999986,0.8533669315068493,-5.743366931506836,-0.6582730955663487,-5535325313128.0,0.0,krx,False
2026-07-31,-666291558504.0,-107089523842.0,1207980615117.0,511436507699.0,-3513435349.0,43050403102.0,164715369338.0,-8283997766512.0,7277329658961.0,1150288377561.0,1046.81,19.97959862004148,3648525412000.0,2099936358250.0,1030.65,0.0,0.0,168732.0,2026-09-10,41,-16.159999999999854,0.9994884520547945,-17.15948845205465,-1.639217093078462,1742004345833.0,0.0,krx,False
2026-08-03,-1560113583317.0,58757883120.0,-473498758673.0,2192329155.0,9414807260.0,32006707467.0,-20386016831.0,4652309467002.0,-2838523262553.0,-1951626631819.0,986.72,-5.740296710959958,-1760760142000.0,-945519532500.0,992.35,0.0,0.0,160679.0,2026-09-10,38,5.6299999999999955,0.8731796164383563,4.756820383561639,0.48208411540879265,-1096518916720.0,0.0,krx,False
2026-08-04,-158355174970.0,57449456154.0,-56097151359.0,-438682883277.0,-12025637628.0,22669908632.0,46579511713.0,818661597786.0,-370935450386.0,-538461970735.0,1000.03,1.3489135722393408,-636037601500.0,203197999250.0,1000.0,0.0,0.0,164214.0,2026-09-10,37,-0.029999999999972715,0.861669684931507,-0.8916696849314797,-0.08916429356434104,-1467454367106.0,0.0,krx,False
2026-08-05,135740424004.0,-10517391740.0,110045917508.0,-519354783643.0,1968808079.0,25181552015.0,-26821033593.0,-1184395808956.0,1451333652408.0,-283756507370.0,1038.59,3.855884323470282,657688171000.0,577176805000.0,1042.05,0.0,0.0,160757.0,2026-09-10,36,3.4600000000000364,0.8707083287671232,2.589291671232913,0.24930835760337702,-16120714698.0,0.0,krx,False
2026-08-07,634079551346.0,52584317766.0,-38229128312.0,35747227673.0,-3589453333.0,15293636565.0,-116583813412.0,265390754866.0,-861100173312.0,579302338293.0,974.73,-0.8332315956537606,-66653561000.0,-388357298000.0,978.75,0.0,0.0,156977.0,2026-09-10,34,4.019999999999982,0.7717725205479453,3.2482274794520363,0.3332438192578495,-877220888010.0,0.0,krx,False
